ID,Type of Defect,Date Recorded,Stage Detected,Description,Risk,Part Involved,Car Model
342,Electrical,8/23/2019,Customer Delivery,Simple official similar while administration organization have.,Low,Transmission,SUV
343,Other,7/16/2023,Testing,Language sign form source issue war push.,Low,Engine,SUV
344,Body,7/31/2015,Testing,Personal result medical sort.,Medium,Interior,Truck
345,,12/10/2020,,,,,
346,Mechanical,9/21/2022,Customer Delivery,Young cover run ball culture push oil.,Medium,Interior,SUV
347,Mechanical,5/11/2023,Production,Happy dog push east.,Medium,Interior,Sedan
348,Electrical,4/28/2023,After Sales,Toward school concern pretty administration skin early century.,High,Other,Hatchback
349,Body,3/24/2019,Customer Delivery,Fill real factor theory same.,Low,Body Panels,Hatchback
350,Body,11/10/2021,Production,Stock theory participant wall wish Mr.,High,Other,Truck
351,Body,6/30/2023,Customer Delivery,Peace increase media understand reduce.,Low,Brakes,Truck
352,Body,4/3/2012,After Sales,Carry vote item and.,Low,Transmission,Hatchback
353,Other,3/3/2023,Customer Delivery,Often base education phone score moment.,Medium,Other,Sedan
354,Software,2/26/2018,After Sales,Watch should break woman sure.,High,Other,Truck
355,Body,8/21/2021,Production,Dinner really there stand treat through.,Medium,Body Panels,Hatchback
356,Mechanical,5/27/2023,Customer Delivery,Forget two energy rich car you recently.,High,Interior,Truck
357,Body,11/24/2016,After Sales,Tv fall case all knowledge window mind perhaps.,High,Engine,SUV
358,Other,3/24/2022,Testing,Just character require decade treat also direction.,High,Electrical System,Sedan
359,Software,1/29/2018,Customer Delivery,Animal morning company statement son fly.,High,System,Hatchback
360,Body,10/6/2022,After Sales,Whatever role experience market movie.,High,Suspension,Truck
361,Electrical,2/9/2018,Customer Delivery,Particular feel dog view particularly degree many.,High,Engine,SUV
362,Software,4/2/2021,Testing,Child but goal rest.,Low,Other,Truck
363,Electrical,12/11/2021,Customer Delivery,Cover different small cold soldier.,Low,Interior,SUV
364,Electrical,3/13/2017,Production,Value into leader oil best.,Medium,Engine,Hatchback
365,,4/19/2023,,,,,
366,Electrical,8/2/2022,After Sales,Performance successful local.,Medium,Brakes,Sedan
367,Mechanical,6/26/2017,Customer Delivery,Ball attorney test film some story.,Medium,Other,Hatchback
368,Software,9/4/2023,Testing,It better month side movie sound story over.,Low,Other,Truck
369,Mechanical,10/11/2021,After Sales,Public fact key particularly behind.,Low,Interior,Hatchback
370,Electrical,9/8/2023,Production,Record reach anything tonight support by.,Low,Transmission,Hatchback
371,Mechanical,9/21/2022,Production,Gas it movement decade lose position property picture.,Low,Transmission,SUV
372,Body,4/10/2021,Production,Various game base plan its ability.,Low,Body Panels,Truck
373,Mechanical,10/14/2021,Testing,Buy traditional customer about involve out of analysis.,Low,Body Panels,Truck
374,Software,10/19/2016,Production,Ago it though mouth to degree.,Medium,System,Truck
375,Other,10/9/2017,Production,Seek others teach Democrat know including.,High,Engine,Hatchback
376,Mechanical,11/19/2021,After Sales,Cup lawyer paper late pull.,Medium,Interior,Truck
377,Body,4/25/2022,After Sales,Technology agency civil.,High,Brakes,SUV
378,Electrical,2/11/2021,Customer Delivery,Black respond national also.,High,Transmission,Sedan
379,Software,5/2/2021,Testing,Up discuss support window.,Medium,Other,SUV
380,Other,3/29/2015,Production,Hit less city fund dark.,High,Brakes,SUV
381,Body,1/20/2023,After Sales,Seven early toward within blue them pass.,High,Electrical System,SUV
382,Software,8/19/2015,Production,Collection different back crime stage my interest.,Low,System,Hatchback
383,Mechanical,11/21/2022,Production,Real really in require something offer.,High,Interior,Hatchback
384,Electrical,5/21/2023,Customer Delivery,Imagine million similar pick.,Low,Body Panels,Truck
385,Body,11/15/2023,Production,Many available industry certainly.,Medium,Interior,Truck
386,Mechanical,5/29/2023,After Sales,Indeed wide prove air town official area.,Medium,Electrical System,SUV
387,Electrical,2/18/2014,Testing,Want race hospital turn unit break.,Low,Interior,Hatchback
388,Body,3/7/2017,Testing,Consumer mean television prepare effect add.,Medium,Body Panels,Sedan
389,Electrical,8/15/2015,Testing,Here moment per son management speak.,High,Brakes,SUV
390,Body,12/18/2011,After Sales,Majority organization machine quickly future card.,Medium,Engine,Sedan
391,Mechanical,8/24/2023,Testing,Throw there whose town court.,Medium,Interior,Truck
392,Other,9/1/2022,After Sales,Time finish break authority participant black I.,Low,Interior,Sedan
393,Body,5/26/2018,Production,Positive system accept growth know Mr pressure.,High,Engine,SUV
394,Electrical,10/16/2021,Testing,Full fear indeed whom brother according.,Low,Brakes,SUV
395,Electrical,2/12/2020,Production,Trip what discussion beyond.,Low,Interior,SUV
396,Body,7/10/2021,Customer Delivery,Begin could price thought music.,Medium,Suspension,Truck
397,Software,11/16/2023,After Sales,Also place book last.,Medium,System,Sedan
398,Electrical,3/19/2023,Customer Delivery,Hospital song learn.,Low,Other,Hatchback
399,Mechanical,10/4/2016,Testing,Heart enter not past ability same catch.,Medium,Suspension,Truck
400,Body,12/18/2021,Customer Delivery,About play quality must because help eat.,Medium,Brakes,Truck
401,Other,9/21/2023,Testing,Home forget other result international plant where.,Medium,Body Panels,Truck
402,Electrical,4/28/2023,Production,Society father attorney usually feeling.,Medium,Brakes,SUV
403,Body,10/30/2017,Customer Delivery,Growth try here traditional may computer.,High,Other,Sedan
404,Mechanical,11/14/2020,Customer Delivery,Perhaps house only discover choose.,High,Other,Truck
405,Software,3/25/2016,Customer Delivery,Mother guy house exactly fact.,Low,Other,Truck
406,Electrical,6/16/2020,Testing,Yet ability hospital society Democrat.,High,Engine,SUV
407,Body,10/11/2021,Production,Sometimes establish bill morning exist newspaper rich.,Low,Suspension,Hatchback
408,Body,3/27/2018,After Sales,Never drug forward decade newspaper its.,Medium,Suspension,SUV
409,Mechanical,8/31/2018,After Sales,Campaign town lead impact nearly.,Medium,Suspension,SUV
410,Other,9/13/2016,Testing,Push than listen region once job.,Medium,Transmission,Sedan
411,Body,12/24/2015,Customer Delivery,Plant near risk need education human.,High,Suspension,Sedan
412,Electrical,5/9/2012,After Sales,Democrat result scene child production.,Low,Engine,Hatchback
413,Software,1/2/2023,Testing,City about she woman hit side.,Medium,System,Truck
414,Electrical,1/4/2018,Testing,Reveal both network lot include share people room.,Medium,Electrical System,SUV
415,Other,11/25/2018,Testing,Yes imagine trip.,High,Transmission,Sedan
416,Software,1/18/2018,Testing,Win child technology together.,Low,Other,Sedan
417,Body,11/19/2023,Production,Start news nearly among walk data.,Medium,Body Panels,SUV
418,Software,2/14/2022,After Sales,Rate right space ago local office wall.,High,Other,SUV
419,Software,12/16/2014,After Sales,Force government image will final including.,Low,Other,Truck
420,Mechanical,5/20/2013,Testing,Bill white on standard southern ok hospital.,High,Brakes,Sedan
421,,11/18/2023,,,,,
422,Electrical,6/2/2018,Customer Delivery,Win number number inside later artist candidate.,Medium,Suspension,SUV
423,Software,7/5/2023,Customer Delivery,Doctor need various television.,Medium,System,Truck
424,Software,11/25/2020,Testing,Stage conference experience half article.,High,Other,SUV
425,Mechanical,6/19/2022,After Sales,Personal gas catch site best current.,Medium,Body Panels,Hatchback
426,Mechanical,11/20/2021,After Sales,Happy top work score.,Medium,Brakes,Truck
427,Mechanical,10/3/2023,Testing,Without answer guess back police should ready.,Low,Transmission,Hatchback
428,Body,8/26/2023,After Sales,Level continue hair lot open participant water let.,Medium,Suspension,SUV
429,Mechanical,8/1/2021,Testing,Similar house body exist several meeting customer.,High,Brakes,Sedan
430,Body,9/12/2023,After Sales,Control ever trip base us.,Medium,Body Panels,Hatchback
431,Other,10/16/2017,Customer Delivery,Page man real.,High,Transmission,Truck
432,Body,7/9/2022,Customer Delivery,Wide fund rich.,Low,Brakes,Hatchback
433,Other,9/28/2023,Customer Delivery,Democrat feel sound responsibility.,Low,Suspension,Sedan
434,Electrical,3/30/2013,Testing,Now whose eight difficult how.,Low,Brakes,Truck
435,Electrical,7/15/2019,Testing,Bit five seven type body industry though.,Medium,Body Panels,Sedan
436,Software,1/21/2022,Production,Material tonight leave six.,High,Other,Sedan
437,Other,5/28/2023,After Sales,Special impact cut glass free all along.,Low,Body Panels,Hatchback
438,Mechanical,1/1/2021,After Sales,They identify situation whom lay also.,High,Transmission,Truck
439,Electrical,8/16/2022,Testing,Such experience society game.,Low,Body Panels,Truck
440,Body,2/28/2022,Testing,Onto large brother support south physical.,Low,Engine,Truck
441,Electrical,9/30/2023,Production,Might firm wait me home so social.,High,Interior,Truck
442,Software,3/1/2023,Customer Delivery,Music give fire beat size despite decision.,Low,System,SUV
443,Mechanical,9/29/2021,Production,Ask and western local care.,High,Transmission,Truck
444,Mechanical,4/24/2021,Testing,Hit today change attention however.,High,Other,Sedan
445,Body,3/20/2021,After Sales,Issue door free stock boy near that more.,Medium,Suspension,Hatchback
446,Mechanical,10/4/2020,Customer Delivery,Behavior such other future later until.,High,Suspension,Sedan
447,Body,12/24/2016,Testing,Or deal true than plant know.,Low,Transmission,Truck
448,Mechanical,2/9/2023,Production,Government ten tend political.,High,Brakes,Truck
449,,3/3/2022,,,,,
450,Other,12/4/2022,After Sales,Now term important with score.,Low,Brakes,Truck
451,Other,10/14/2015,Production,More full popular provide.,Medium,Transmission,SUV
452,Other,9/30/2017,Customer Delivery,Debate now good administration decision current occur wide.,Medium,Brakes,SUV
453,Body,2/4/2022,Customer Delivery,Kind movement operation guy.,Low,Engine,Sedan
454,Software,4/19/2021,Customer Delivery,Term phone whose church.,Medium,System,SUV
455,Body,9/3/2020,Production,Feel floor decade true drug bill whatever.,Low,Transmission,Hatchback
456,Software,9/29/2020,Production,Accept usually quality tree economic voice difference.,Low,Other,Hatchback
457,Software,2/14/2020,Testing,Itself discover policy.,Low,System,Hatchback
458,Software,7/16/2023,Testing,Candidate movement agency son above treat bad.,Medium,Other,Sedan
459,Electrical,9/26/2023,Testing,Organization establish college exist half.,Low,Brakes,Hatchback
460,Body,3/16/2020,After Sales,Tough agent form serious suggest care bill.,Medium,Interior,Hatchback
461,Other,5/30/2023,After Sales,Return phone loss civil work itself.,Low,Suspension,Hatchback
462,Software,8/10/2013,Testing,Ten teach challenge hotel husband light.,High,Other,Truck
463,Body,9/28/2018,Production,Recognize century leader painting candidate business.,Low,Suspension,Truck
464,Mechanical,10/12/2023,Customer Delivery,History thank it image discover knowledge.,Low,Brakes,Sedan
465,,2/3/2017,,,,,
466,Other,1/17/2021,Production,Spend join plant.,Low,Suspension,SUV
467,Mechanical,6/14/2022,Customer Delivery,History question must alone bed shoulder.,High,Transmission,Truck
468,Other,9/6/2018,After Sales,Season rule paper will.,High,Interior,Hatchback
469,,2/2/2016,,,,,
470,Body,8/30/2023,Production,Fear since believe store bill story this.,High,Other,SUV
471,Software,10/8/2017,Production,Force score reflect money century ready.,High,System,Sedan
472,Body,12/16/2020,After Sales,Else magazine effect support try.,Medium,Transmission,Sedan
473,Body,3/22/2019,Customer Delivery,Special enter into situation person activity skin life.,High,Transmission,Hatchback
474,Body,12/4/2021,Testing,Person process situation.,Medium,Electrical System,Hatchback
475,Software,3/3/2023,Testing,School carry class great worry better.,High,System,Sedan
476,Electrical,6/30/2023,Customer Delivery,Somebody game professor walk say still.,High,Body Panels,Hatchback
477,Mechanical,12/25/2022,After Sales,Finish control capital.,Low,Brakes,Sedan
478,Mechanical,4/10/2014,Testing,Economy pretty southern according medical.,Low,Brakes,Sedan
479,,6/10/2023,,,,,
480,Electrical,11/29/2015,Production,Stay partner guess young tax.,Low,Body Panels,SUV
481,Mechanical,5/20/2015,After Sales,Situation surface share early yard.,Low,Interior,Truck
482,Software,9/1/2023,Customer Delivery,Life always movie support quality successful society book.,High,System,SUV
483,Electrical,5/16/2023,Testing,Team doctor second you lawyer shake.,Low,Other,Sedan
484,Body,4/21/2018,Testing,Throw policy base response moment.,High,Brakes,Sedan
485,,8/10/2022,,,,,
486,Mechanical,1/15/2022,After Sales,Drop vote like fall sport.,High,Brakes,SUV
487,Electrical,9/3/2013,Testing,Very create recent ready law.,Low,Transmission,SUV
488,Body,2/11/2022,After Sales,Herself relationship for traditional tough particularly.,Medium,Other,SUV
489,Other,11/8/2023,Production,Collection discuss develop cover which international.,High,Body Panels,SUV
490,Electrical,5/28/2012,Testing,Make he low conference pattern man.,Medium,Body Panels,Hatchback
491,Software,2/13/2020,Customer Delivery,Decade strategy whole five summer someone.,High,Other,Hatchback
492,Electrical,11/3/2018,Testing,Still Mr term glass.,Low,Electrical System,Hatchback
493,Body,11/8/2015,After Sales,Camera feeling yes cultural economic to treat.,High,Body Panels,SUV
494,Body,11/27/2023,After Sales,Base anything accept image war exist everything.,Low,Brakes,SUV
495,Electrical,12/2/2018,Testing,Policy inside everyone individual.,High,Other,Hatchback
496,Mechanical,12/18/2023,Customer Delivery,Economic recent many gas court western section.,Medium,Interior,Hatchback
497,Electrical,11/6/2015,Testing,Young especially garden market tree.,Medium,Interior,SUV
